ɂ́ɟɀʇɽʃ,Hîsyêô,Meaning,Verb,Noun,Modifier,Frequentative,Type,Kokanu,I,Origin,Origin IPA,Family,Word Ref,Group,/a/,/o/,/ə/,/u/,/ɪ/,/i/,/ɛ/,/e/,Syllabary,Actual IPA,Length,Rank
ɽ͊ʌ́ȷ,oldis,evidence marker (or so),-,-,-,-,Preposition,,o,Dutch aldus,/ɑlˈdʏs/,Germanic,oldis,Grammar 203: Prepositions III,1,0,0,0,1,0,0,0,aldis,/ˈɑl.dɪs/,5,01.23.16.05.14
ɽıɽɟc̃ʃ,ôîtun,to vocalize (a vocalization),to vocalize/utter,vocalization/utterance,vocalizable/utterable,,Verb,,ô,Dutch uiten,/ˈœy̯tə(n)/,Germanic,ôîtun,Phenomenology 102: Fundamental Senses I,0,1,1,0,0,1,0,0,ôîtrn,/ˈo.i.tʌn/,5,02.06.12.07.21
ɽıɂ͊ʇ,ôhêl,past,to be a past,past,beforehand/ago/earlier,,Noun,,ô,K'iche' ojer,/oχeɾ/,Mayan,ôhêl,Mathematics 302: Relative Time III,0,1,0,0,0,0,0,1,ôhêl,/ˈo.hel/,4,02.09.04.23.00
ɽ̆ıɐıc̆,ôtsôtot,deity,to be a deity/god,deity/god,deity/god-related/divine,,Noun,ocota,ô,Atakapa o'tsotat,-,Misc,ôtsôtot,Sociology 301: Religion,1,2,0,0,0,0,0,0,ôtsôtat,/ˈot.so.tɑt/,7,02.12.14.02.12
ɽıɐıʓʇ,ôsôlê,afraid,to be scared,fear,scared,,Adjective,osole,ô,Japanese 恐れ osore,[o̞so̞ɾe̞],Japonic,ôsôlê,Emotion 201: Fundamental Emotions II,0,2,0,0,0,0,0,1,ôsôlê,/ˈo.so.le/,5,02.14.02.23.04
ɽ́ıcɟ,ôstî,bone,to be a bone,bone,bone-related,,Noun,oti,ô,Bengali অস্থি osthi,[ˈos.t̪ʰi],Indo-Iranian,ôstî,Anatomy 204: Intermediate Anatomy I,0,1,0,0,0,1,0,0,ôstî,/ˈos.ti/,4,02.14.12.06.00
ɽıʌ̃,ôdon,orderly,to be orderly,orderliness/order,orderly,,Adjective,otan,ô,Danish orden,[ˈɒˀd̥n̩],Germanic,ôdon,Evaluation 301: Worldly Evaluations II,1,1,0,0,0,0,0,0,ôdan,/ˈo.dɑn/,4,02.16.01.21.00
ɽıⱴ͊ɟ,ôzîl,nut,to be a nut,nut,nut-related,,Noun,,ô,Persian آجیل âjil,[ʔɔ.d͡ʒíl],Indo-Iranian,ôzîl,Nutrition 102: Food Groups,0,1,0,0,0,1,0,0,ôzîl,/ˈo.d͡ʒil/,4,02.17.06.23.00
ɽıʋ̑,ôbok,opaque,to be opaque,opacity,opaque,,Adjective,,ô,French opaque,/ɔ.pak/,Romance,ôbok,Materials 201: Material Properties,1,1,0,0,0,0,0,0,ôbak,/ˈo.bɑk/,4,02.18.01.10.00
ɽıɤ,ôfo,proximal demonstrative (this/here),to be this,this,this,-,Pronoun,ne,ô,Macedonian ова ova,[ˈɔva],Balto-Slavic,ôfo,Grammar 103: Elementary Grammar II,1,1,0,0,0,0,0,0,ôfa,/ˈo.fɑ/,3,02.19.01.00.00
